code,name,canton,latitude,longitude
ALT,Altstätten SG,St. Gallen,47.374235,9.556519
KAU,Kaiseraugst,Aargau,47.538496,7.724135
AN,Andelfingen,Zürich,47.593766,8.678001
SEM,Sempach-Neuenkirch,Luzern,47.116053,8.195978
DOE,Döttingen,Aargau,47.57527,8.256364
BUD,Buchs-Dällikon,Zürich,47.453405,8.435601
OP,Opfikon,Zürich,47.429955,8.561794
POR,Porrentruy,Jura,47.420916,7.080077
VSX,Versoix,Genève,46.279727,6.165741
BURN,Buchrain,Luzern,47.09365,8.356658
BRZ,Brienz,Bern/Berne,46.75484,8.038939
LOC,Le Locle,Neuchâtel,47.057861,6.746153
PTC,Pont-Céard,Genève,46.287398,6.162665
SAGL,Sagliains,Graubünden/Grigioni,46.7634,10.096579
RSST,Rorschach Stadt,St. Gallen,47.475592,9.489363
PU,Pully,Vaud,46.510924,6.659468
URDW,Urdorf Weihermatt,Zürich,47.38097,8.430342
HED,Hedingen,Zürich,47.298785,8.445965
VIL,Villeneuve,Vaud,46.398371,6.927003
ARB,Arbon,Thurgau,47.510588,9.433358
ABO,Aarburg-Oftringen,Aargau,47.320268,7.908222
NIE,Niederhasli,Zürich,47.478331,8.488707
TEN,Tenero,Ticino,46.177467,8.850226
IL,Illnau,Zürich,47.408819,8.722727
TOUR,La Tour-de-Peilz,Vaud,46.455453,6.859532
CU,Cully,Vaud,46.488562,6.727151
AE,Aesch,Basel-Landschaft,47.467745,7.603068
FILI,Filisur,Graubünden/Grigioni,46.67533,9.682289
RU,Rupperswil,Aargau,47.40329,8.126956
MELH,Mellingen Heitersberg,Aargau,47.428075,8.276363
SSTA,Stansstad,Nidwalden,46.97626,8.336339
URD,Urdorf,Zürich,47.390883,8.43473
BSDH,Basel Dreispitz,Basel-Stadt,47.537436,7.609595
DAD,Davos Dorf,Graubünden/Grigioni,46.80972,9.842109
WAL,Walenstadt,St. Gallen,47.119874,9.312981
BEX,Bex,Vaud,46.251465,7.000669
SCB,Sonceboz-Sombeval,Bern/Berne,47.195148,7.168763
RZ,Rafz,Zürich,47.603797,8.543451
CL,Clarens,Vaud,46.442738,6.895779
GOL,Goldach,St. Gallen,47.473798,9.466996
GREL,Grellingen,Basel-Landschaft,47.441295,7.591988
CD,Cadenazzo,Ticino,46.15262,8.941698
RCK,Rheineck,St. Gallen,47.466886,9.590912
KRM,Kriens Mattenhof,Luzern,47.02661,8.302369
RBGD,Rothenburg Dorf,Luzern,47.09091,8.27319
UER,Uerikon,Zürich,47.235861,8.752625
WGR,Winterthur Grüze,Zürich,47.498755,8.751055
NH,Neuhausen,Schaffhausen,47.683133,8.624934
MTM,Mettmenstetten,Zürich,47.244071,8.457382
HGO,Horgen Oberdorf,Zürich,47.25875,8.589815
EGL,Eglisau,Zürich,47.572375,8.516557
MTL,Marthalen,Zürich,47.63138,8.656062
BEBR,Bergün/Bravuogn,Graubünden/Grigioni,46.63107,9.746749
HO,Hochdorf,Luzern,47.166975,8.288699
HW,Horw,Luzern,47.01747,8.306969
SCHD,Schwanden,,,
SUHR,Suhr,Aargau,47.371635,8.08229
AD,Aadorf,Thurgau,47.488118,8.903301
SEU,Seuzach,Zürich,47.535767,8.738883
SCME,Schmerikon,St. Gallen,47.22516,8.943381
BIA,Biasca,Ticino,46.351984,8.974179
KN,Kempten,Zürich,47.332043,8.80472
FIE,Fiesch,Valais/Wallis,46.406285,8.134191
ZGSE,Zug Schutzengel,Zug,47.173725,8.507242
ORD,Oberrieden,Zürich,47.279676,8.57846
CHV,Chavornay,Vaud,46.710085,6.568163
NHOF,Neuenhof,Aargau,47.450664,8.331255
EMB,Embrach-Rorbas,Zürich,47.52059,8.587068
EL,Elgg,Zürich,47.498529,8.863411
NAEF,Näfels-Mollis,Glarus,47.098719,9.069956
ZSEB,Zürich Seebach,Zürich,47.41875,8.54466
MOEL,Mörel,Valais/Wallis,46.3562,8.047139
EBI,Ebikon,Luzern,47.084263,8.342358
LSN,Lausen,Basel-Landschaft,47.470345,7.759762
BEMG,Betten Talstation,Valais/Wallis,46.37116,8.076519
LTY,Lutry,Vaud,46.503787,6.690609
TA,Tavannes,Bern/Berne,47.219845,7.201645
CHAA,Cham Alpenblick,Zug,47.182282,8.471463
HUEW,Hüntwangen-Wil,Zürich,47.581269,8.512847
STI,St-Imier,Bern/Berne,47.151711,7.001223
ORDD,Oberrieden Dorf,Zürich,47.276732,8.577652
KRH,Kreuzlingen Hafen,Thurgau,47.649164,9.181982
HGT,Henggart,Zürich,47.564257,8.685075
NEB,Nebikon,Luzern,47.192381,7.977449
ZZ,Bad Zurzach,Aargau,47.588313,8.295587
REID,Reiden,Luzern,47.241468,7.968774
WWAL,Winterthur Wallrüti,Zürich,47.516722,8.760882
SCRS,Schiers,Graubünden/Grigioni,46.96799,9.688359
SW,Solothurn West,Solothurn,47.206717,7.531949
KGO,Küsnacht Goldbach,Zürich,47.326857,8.575964
EG,Egerkingen,Solothurn,47.314865,7.798966
SY,Satigny,Genève,46.214227,6.037665
GI,Giswil,Obwalden,46.83653,8.186309
MTH,Monthey,Valais/Wallis,46.255656,6.955226
RBG,Rothenburg,Luzern,47.08819,8.249179
PFU,Pfungen,Zürich,47.516038,8.646633
ZEZ,Zernez,Graubünden/Grigioni,46.69767,10.089939
OF,Otelfingen,Zürich,47.454936,8.387532
DG,Degersheim,St. Gallen,47.37248,9.200279
ZK,Zollikon,Zürich,47.337335,8.56974
HUZY,Hünenberg Zythus,Zug,47.173608,8.450095
